"id","epa_x","epa_y","map_x","map_y"
"1003","3220655","1419888","1047215.345","388483.101"
"1010","3222695","1416954","1048114.163","388067.395"
"1012","3219027","1415374","1047539.531","388511.583"
"1020","3221926","1417827","1048045.628","389466.769"
"1021","3220433","1415395","1048689.044","389752.059"
"1022","3225030","1416746","1048223.934","388435.654"
"1023","3220781","1417185","1048638.477","389208.966"
"1024","3210027","1420370","1048554.522","387862.079"
"1025","3216470","1415290","1047846.886","390192.987"
"1026","3220531","1412401","1048614.888","387910.748"
"1027","3221709","1412995","1048543.769","388433.538"
"1028","3216581","1419325","1047749.7","389775.601"
"1029","3210121","1420304","1048328.82","389007.589"
"1030","3214243","1417808","1048054.113","388970.827"
"1031","3216176","1419310","1048207.145","388183.398"
"1032","3212057","1418298","1048114.493","387379.711"
"1033","3211011","1419648","1047364.646","389218.484"
"1034","3209946","1420222","1047486.957","388607.421"
"1035","3210437","1419904","1048515.175","387928.548"
"1036","3211634","1419382","1048656.969","389202.234"
"1037","3211239","1419234","1047839.552","388602.936"
"1038","3212141","1419019","1047784.837","389691.222"
"1040","3211703","1419413","1048011.127","387949.179"
"1041","3211292","1419137","1047224.668","388473.836"
"1042","3211084","1419022","1047374.961","387472.088"
"1043","3210617","1419129","1047341.422","388506.017"
"1044","3210250","1419589","1047190.817","388823.365"
"1046","3211528","1418806","1047145.245","389430.224"
"1047","3211714","1418625","1048085.79","388746.946"
"1048","3212840","1419166","1048247.633","388393.344"
"1049","3213664","1419723","1046992.78","389895.465"
"1051","3212252","1419023","1048149.613","389377.827"
"1052","3211679","1418885","1048223.302","388378.76"
"1053","3212928","1419134","1048967.812","387947.154"
"1055","3212417","1417959","1047852.414","389046.893"
"1056","3213467","1417771","1046021.939","389913.521"
"1059","3212944","1417742","1047113.095","389382.899"
"1060","3213285","1417755","1048479.02","389437.874"
"1061","3212275","1418418","1047222.92","388173.721"
"1062","3215902","1418956","1047151.001","388919.159"
"1064","3215328","1419723","1047224.018","388475.15"
"1065","3214705","1419723","1048138.807","389349.841"
"1066","3214147","1419154","1047169.124","388773.298"
"1067","3214136","1418656","1047568.338","388687.155"
"1068","3214279","1417934","1046918.837","389399.766"
"1070","3214669","1417542","1048698.58","389196.71"
"1071","3213662","1416218","1048172.037","390281.709"
"1074","3214848","1417009","1047973.614","388922.226"
"1076","3214242","1418584","1047527.531","387896.354"
"1077","3214404","1418827","1048074.052","389477.184"
