"id","epa_x","epa_y","map_x","map_y"
"51956","1390807.66","429812.34","772186.584","391448.113"
"51961","1390862.72","429830.82","771841.839","391895.219"
"52038","1390599.22","429484.46","771015.31","391910.82"
"52080","1391678.85","429161.32","772758.67","391962.329"
"52086","1391671.41","429135.28","771785.302","391151.244"
"52087","1391682.7","429134.59","772788.459","391515.11"
"52108","1390626.95","429035.22","772824.17","391004.25"
"52157","1392342.48","428854.76","771855.064","391289.131"
"52160","1392356.4","428834.01","772091.748","391501.007"
"52166","1392248.41","428801.35","772029.079","391161.969"
"52174","1392247.18","428767.22","771661.98","391497"
"52179","1390532.37","428721.04","772272.841","391556.666"
"52188","1390566.77","428713.16","772605.728","391841.911"
"52189","1389739.74","428708.28","772039.94","392461.89"
"52197","1390727.06","428685.31","771987.716","391161.015"
"52198","1390705.68","428686.95","772063.857","391064.752"
"52222","1390892.21","428589.52","772290.654","391343.756"
"52254","1390337.6","428457.17","772305.445","391385.697"
"52258","1390325.69","428456.03","771469.534","392448.17"
"52261","1390348.76","428452.06","771417.799","391538.503"
"52262","1390357.23","428450.79","772666.317","391565.429"
"52264","1390356.85","428448.77","772375.004","391018.275"
"52307","1390745.49","428324.81","772411.554","391246.014"
"52344","1390836.59","428140.95","772014.916","391725.79"
"52350","1390841.97","428139.9","771779.79","391323.698"
"52359","1390709.86","428085.36","772616.06","391838.159"
"52360","1390667.01","428065.73","771813.487","391240.973"
"52392","1390713.87","427971.96","772574.505","392038.455"
"52407","1391330.74","427918.34","772790.297","392279.902"
"52413","1391576.99","427888.17","772531.376","391161.957"
"52417","1390778.27","427859","771811.328","391078.992"
"52418","1390769.43","427854.27","772458.463","391671.658"
"52423","1391613.54","427820.5","771428.45","391993.59"
"52438","1392000.25","427795.29","772209.019","391454.07"
"52439","1395960.19","427768.5","772638.32","391058.19"
"52451","1395941.37","427742.21","771021.945","391511.899"
"52460","1391965.09","427721.06","771760.515","391342.789"
"52472","1392241.07","427658.49","772106.525","391491.291"
"52484","1395239.39","427585.3","771935.308","391283.089"
"52501","1395280.99","427544.95","771812.74","390963.47"
"52509","1396426.3","427522.25","772401.587","391238.704"
"52512","1396453.42","427516.73","771936.465","391137.469"
"52528","1392456.22","427466.03","772662.264","391902.908"
"52534","1396071.06","427419.93","772569.778","391902.447"
"52560","1395125.37","427340.63","771850.28","391914.55"
"52575","1395132.3","427310.92","772771.203","392374.824"
"52578","1396349.01","427262.47","772083.58","392140.42"
"52581","1395092.21","427297.88","772629.27","392211.931"
"52589","1396326.69","427259.69","771970.123","391140.689"
"52603","1396323.8","427226.24","772052.921","391347.333"
"52605","1396362.28","427233.14","771594.555","391615.54"
"52622","1391384.11","427125.68","772536.69","391737.17"
"52628","1393392.13","427062.73","772853.097","391675.035"
"52642","1391900.52","427028.06","771709.983","391586.572"
"52655","1395997","426956.5","772174.939","391422.2"
"52660","1392773.76","426954.97","772174.359","391423.872"
"52685","1392753.2","426817.43","772144.362","391867.687"
"52702","1392487.02","426751.83","771895.003","391796.06"
"52704","1393711.25","426764.96","772563.849","392036.343"
"52709","1396091.4","426725.45","772319.528","391235.885"
"52712","1391899.4","426705.22","771815.18","391585.38"
"52718","1393313.07","426679.7","771785.217","391151.924"
"52721","1391531.81","426685.23","772002.282","391036.404"
"52723","1391507.38","426684.13","772783.602","392445.746"
"52727","1392867.28","426664.62","772670.51","391125.45"
"52728","1393303.95","426645.01","771103.768","391826.62"
"52732","1391517.72","426675.04","772075.123","391597.593"
"52752","1395827.91","426577.05","772746.577","392468.715"
"52753","1392386.26","426569.28","771784.265","391152.576"
"52760","1392359.92","426567.11","771964.744","391034.06"
"52761","1395840.29","426525.4","771503.936","392431.192"
"52778","1393647.1","426441.28","772049.46","391401.925"
"52808","1393929.65","426302.29","771967.857","391706.797"
"52818","1393936.82","426292.49","772427.593","391940.601"
"52830","1392146.22","426205.88","772531.737","392170.98"
"52833","1392700.25","426202.17","771398.243","391215.574"
"52839","1393709.44","426179.95","772681.772","391956.991"
"52857","1393483.87","426102.24","772626.591","391835.135"
"52860","1395590.56","426067.43","771974.078","390964.543"
"52861","1393430.61","426083.48","772661.199","392071.798"
"52876","1395597.07","426051.98","771455.228","391452.819"
"52894","1394056.16","425864.97","772612.047","391694.849"
"52895","1393792.12","425856.14","771958.93","390975.907"
"52896","1394037.35","425834.97","771851.057","391465.257"
"52904","1394075.79","425814.53","772027.415","391072.386"
"52909","1396782.27","425752.52","772586.045","391918.454"
"52920","1396768.45","425686.14","772076.33","392099.6"
"52982","1393521.13","425295.13","772490.61","391696.43"
"52983","1394117.72","425279.13","772093.046","391542.98"
"52984","1394146.59","425263.01","771740.828","391100.428"
"53006","1395571.84","425139.33","772903.892","392377.913"
"53008","1395192.91","425112.62","772390.046","391347.742"
"53015","1395588.23","425080.47","772385.208","391234.87"
"53021","1395145.47","425069.15","772030.43","391176.685"
"53030","1393763.49","425021.95","772779.835","391608.585"
"53067","1395389.25","424821.74","772644.685","392052.949"
"53074","1394785.12","424800.7","772360.135","391812.561"
"53085","1395384.33","424797.86","771594.214","391659.226"
"53105","1394070.52","424708.06","772862.773","391660.756"
"53110","1394548.7","424666.58","772063.107","391511.32"
"53112","1394590.01","424662.5","772837.557","391617.469"
"53234","1395049.02","424200.96","771872.857","390998.594"
"53277","1394500.15","424074.62","771592.83","391147.972"
"53282","1394464.99","424061.91","772844.943","391626.319"
"53297","1395728.68","424031.7","772082.58","391596.72"
"53306","1395456.76","424008.65","771980.81","391460.38"
"53310","1394136.65","423966.28","772732.456","391831.8"
"53320","1394174.36","423922.54","771626.998","391119.304"
"53356","1394821.72","423738.62","772141.18","391454.96"
"53380","1394602.44","423641.81","771703.64","391505.54"
"53385","1394544.92","423628.44","772348.39","391212.122"
"53395","1394574.36","423601.73","771708.344","391591.716"
"53397","1395557.64","423584.03","772304.155","391143.591"
"53402","1395557.29","423581.28","772263.66","391249.751"
"53426","1395035.78","423478.77","772228.335","391447.532"
"53509","1394636.14","423087.9","772363.404","391594.942"
"53535","1394555.16","422982.98","771984.157","390964.978"
"53565","1394453.64","422844.31","772810.211","391537.142"
"53630","1394046.95","422528.43","772109.29","391988.56"
"53649","1393668.71","422481.33","772040.102","391158.385"
"53650","1394035.74","422499.23","772708.507","391631.079"
"53651","1394072.35","422472.92","772165.08","391444.165"
"53655","1393636.33","422459","772482.61","391931.192"
"53717","1394185.51","422178.35","771508.528","391852.608"
"53722","1394212.89","422169.85","772255.821","391417.583"
"111671","1390758.45","429905.91","771519.433","391676.936"
"111679","1390976.08","429860.81","772123.41","391487.27"
"111686","1390809.12","429808.97","771807.15","391131.219"
"111754","1391280.68","429495.63","771416.978","391529.32"
"111804","1391676.77","429134.74","771728.257","391135.193"
"111828","1390585.64","429037.84","772536.271","391153.702"
"111877","1392341.11","428861.13","771418.173","392069.209"
"111879","1392395.16","428842.63","771848.191","391409.184"
"111884","1392347.78","428831.78","772332.434","391464.688"
"111890","1392262.91","428780.97","772010.929","391028.439"
"111909","1390531.92","428717.68","772249.799","391418.717"
"111915","1390706.23","428689.17","771730.054","391136.587"
"111924","1390878.16","428652.02","772021.556","391497.387"
"111925","1390338.19","428654.8","772103.42","391431.8"
"111938","1390892.02","428585.97","771829.768","391079.82"
"111970","1390326.11","428459.07","772792.942","391606.902"
"111973","1390499.57","428448.11","772047.633","391170"
"111974","1390349.3","428455.19","771807.679","391075.023"
"111976","1390357.72","428453.71","772031.7","392465.89"
"111978","1390323.68","428443.3","771826.748","391077.117"
"111988","1392671.9","428408.16","772222.622","391413.355"
"111999","1390260.53","428444.75","771981.58","391461.86"
"112008","1390722.69","428357.16","771919.47","391973.64"
