  Page 1                                    Sat Jul 14 17:01:33 2018

  ******************************************************************
  *                           E P A N E T                          *
  *                   Hydraulic and Water Quality                  *
  *                   Analysis for Pipe Networks                   *
  *                         Version 2.00.12                        *
  ******************************************************************
  
  Scenario: Average Day  
  Date: 8/16/2016 4:09:48 PM  
   
      Input Data File ................... ../Data/final_input.inp
      Number of Junctions................ 1782
      Number of Reservoirs............... 4
      Number of Tanks ................... 0
      Number of Pipes ................... 1985
      Number of Pumps ................... 6
      Number of Valves .................. 4
      Headloss Formula .................. Hazen-Williams
      Hydraulic Timestep ................ 15.00 min
      Hydraulic Accuracy ................ 0.001000
      Status Check Frequency ............ 2
      Maximum Trials Checked ............ 10
      Damping Limit Threshold ........... 0.000000
      Maximum Trials .................... 100
      Quality Analysis .................. None
      Specific Gravity .................. 1.00
      Relative Kinematic Viscosity ...... 1.00
      Relative Chemical Diffusivity ..... 1.00
      Demand Multiplier ................. 1.00
      Total Duration .................... 30.00 min
      Reporting Criteria:
         All Nodes
         All Links
   
   
  Hydraulic Status:
  -----------------------------------------------------------------------
     0:00:00: Balanced after 9 trials
     0:00:00: Reservoir 3001 is emptying
     0:00:00: Reservoir 3003 is closed
     0:00:00: Reservoir 3004 is closed
     0:00:00: Reservoir 3006 is emptying
     0:00:00: PRV 4001 closed
     0:00:00: PRV 4002 closed
     0:00:00: PRV 4003 closed
   
     0:15:00: Balanced after 7 trials
     0:15:00: PRV 4004 changed from active to open
   
     0:30:00: Balanced after 1 trials
   
   
  Node Results at 0:00:00 hrs:
  ----------------------------------------------
                     Demand      Head  Pressure
  Node                  gpm        ft       psi
  ----------------------------------------------
  1003                 4.02   7298.99     87.52
  1010                 4.02   7295.65    143.27
  1012                 4.02   7298.46    103.33
  1020                 4.02   7297.22     72.46
  1021                 4.02   7295.63    143.26
  1022                 4.02   7297.07    115.72
  1023                 4.02   7296.81     74.45
  1024                 4.02   7296.41    117.60
  1025                 4.02   7295.89    126.04
  1026                 4.02   7295.69    143.29
  1027                 4.02   7295.74    136.81
  1028                 4.02   7295.94    119.56
  1029                 4.02   7295.93    126.06
  1030                 4.02   7296.17    119.66
  1031                 4.02   7295.94    119.57
  1032                 4.02   7295.95    128.23
  1033                 4.02   7295.85    132.53
  1034                 4.02   7295.80    138.14
  1035                 4.02   7295.75    143.31
  1036                 4.02   7296.17    130.06
  1037                 4.02   7296.30    134.89
  1038                 4.02   7296.17    111.00
  1040                 4.02   7296.24     93.70
  1041                 4.02   7296.17    119.66
  1042                 4.02   7296.17    130.50
  1043                 4.02   7296.18    111.00
  1044                 4.02   7296.49    115.47
  1046                 4.02   7296.92    124.32
  1047                 4.02   7296.76    126.42
  1048                 4.02   7296.82    124.28
  1049                 4.02   7296.47    117.63
  1051                 4.02   7296.79     80.94
  1052                 4.02   7296.62     76.53
  1053                 4.02   7296.54     85.16
  1055                 4.02   7296.62     95.16
  1056                 4.02   7296.74    106.91
  1059                 4.02   7296.99    115.69
  1060                 4.02   7297.23    107.12
  1061                 4.02   7297.35    124.51
  1062                 4.02   7297.37    107.18
  1064                 4.02   7296.79    109.10
  1065                 4.02   7296.72     98.24
  1066                 4.02   7296.77     93.06
